unique_id	claim	scientific_claim	annotator_1	annotator_2	annotator_3	id	evidence	label
72	Species distribution can be understood through many factors except glaciation .	True	1	0	1	219200	It is very useful in understanding species distribution through factors such as speciation , extinction , continental drift , glaciation , variation of sea levels , river capture and available resources .	REFUTES
74	Doxycycline may cause teeth to change color in children .	True	1	1	1	89156	If used during pregnancy or in young children may result in permanent problems with the teeth including changes in their color .	SUPPORTS
85	Solanum contains plants with ornamental flowers .	True	1	0	1	16079	It also contains the nightshades and horse nettles , as well as numerous plants cultivated for their ornamental flowers and fruit .	SUPPORTS
92	The great white shark does not prefer to prey on humans because it 's a herbivore .	True	1	1	0	145707	It is also known to prey upon a variety of other marine animals , including fish and seabirds .	REFUTES
96	Proponents of globalism tend to advocate for decreases in immigration .	True	1	1	1	96401	It tends to advocate for such policies as increases in immigration , free trade , lowering tariffs , interventionism and global governance .	REFUTES
141	Dopamine prevents neuromodulation .	True	1	1	1	80650	Major neuromodulators in the central nervous system include dopamine , serotonin , acetylcholine , histamine , and norepinephrine .	REFUTES
201	In 2015 , among Americans , 30 % of adults had consumed alcoholic drink in the last year .	True	1	1	1	24779	For instance , in 2015 , among Americans , 89 % of adults had consumed alcohol at some point , 70 % had drunk it in the last year , and 56 % in the last month .	REFUTES
262	Internet access is the ability of organizations to disconnect the internet .	False	0	0	0	139116	Internet access is ability of individuals and organizations to connect to the Internet using computer terminals , computers , mobile devices ; and to access services such as email and the World Wide Web .	REFUTES
310	Pakistan 's economy is 42nd largest in nominal gross domestic product .	True	1	1	1	48607	The Pakistani economy is the 24th-largest in the world in terms of purchasing power and the 41st-largest in terms of nominal GDP -LRB- World Bank -RRB- .	REFUTES
315	Azithromycin is not sold under many trade names worldwide .	False	0	0	0	149728	It is available as a generic medication and is sold under many trade names worldwide .	REFUTES
335	Yin and yang show a balance between magnetized entities .	False	0	0	0	18066	The yin yang -LRB- i.e. taijitu symbol -RRB- shows a balance between two opposites with a portion of the opposite element in each section .	REFUTES
423	Dopamine induces neuromodulation .	True	1	1	1	49869	Major neuromodulators in the central nervous system include dopamine , serotonin , acetylcholine , histamine , and norepinephrine .	SUPPORTS
443	Parkinson 's disease has afflicted Davis Phinney .	False	0	0	0	46309	People with parkinsonism who have increased the public 's awareness of the condition include actor Michael J. Fox , Olympic cyclist Davis Phinney , and late professional boxer Muhammad Ali .	SUPPORTS
454	Baloch persons are an Iranic group of humans .	True	1	0	1	5747	They mainly speak the Balochi language , a branch of Northwestern Iranian languages , and are an Iranic people .	SUPPORTS
456	In 2012 , Simi Valley , California reported that its median household income dropped below the national average for the first time in a decade .	True	1	1	1	183423	The U.S. Census Bureau of 2012 reported a median household income of $ 87,894 , which is higher than the California median of $ 70,231 and the national average of $ 62,527 .	REFUTES
457	Doxycycline may induce diarrhea .	True	1	1	1	89908	Common side effects include diarrhea , nausea , vomiting , a red rash , and an increased risk of a sunburn .	SUPPORTS
463	The Mormon population has increased significantly in recent decades .	True	1	1	1	85571	The number of members in 1971 was 3,090,953 and now in 2017 based on the Annual Report , there are 15,882,417 worldwide .	SUPPORTS
496	Azithromycin is sold worldwide .	False	0	0	0	24454	It is available as a generic medication and is sold under many trade names worldwide .	SUPPORTS
569	Pakistan has the 42nd largest economy in nominal gross domestic product .	True	1	1	1	132025	The Pakistani economy is the 24th-largest in the world in terms of purchasing power and the 41st-largest in terms of nominal GDP -LRB- World Bank -RRB- .	REFUTES
572	Dissociative identity disorder , or DID , may result from disruptions in memory caused by psychological trauma .	True	1	1	1	98448	Dissociative disorders , including DID , have been attributed to disruptions in memory caused by trauma or other forms of stress .	SUPPORTS
583	Superhuman abilities may result from human enhancement by nanotechnology .	True	1	1	1	60038	Superhuman abilities may result from human enhancement by genetic modification , cybernetic implants , nanotechnology , radiation or from human evolution in the future .	SUPPORTS
623	Pakistan 's economy is 32nd largest in nominal gross domestic product .	True	1	1	1	153148	The Pakistani economy is the 24th-largest in the world in terms of purchasing power and the 41st-largest in terms of nominal GDP -LRB- World Bank -RRB- .	REFUTES
663	Cordilleran Ice Sheet covered a large portion of North America .	True	1	1	1	136213	The Cordilleran ice sheet was a major ice sheet that periodically covered large parts of North America during glacial periods over the last ~ 2.6 million years .	SUPPORTS
676	Personality is affected by the hindrance of values .	False	0	0	0	99461	Personality is a set of individual differences that are affected by the development of an individual : values , attitudes , personal memories , social relationships , habits , and skills .	REFUTES
686	Personality is a set of individual similarities .	True	1	0	1	139174	Personality is a set of individual differences that are affected by the development of an individual : values , attitudes , personal memories , social relationships , habits , and skills .	REFUTES
715	Military deception only overlaps with psychological peace .	False	0	0	1	207341	As a form of strategic use of information -LRB- disinformation -RRB- , it overlaps with psychological warfare .	REFUTES
721	Dissociative identity disorder , or DID , may be the result of memory disruptions that have been induced by psychological trauma .	True	1	1	1	161101	Dissociative disorders , including DID , have been attributed to disruptions in memory caused by trauma or other forms of stress .	SUPPORTS
753	Muhammad Ali is immune to Parkinson 's disease .	False	0	0	0	65223	People with parkinsonism who have increased the public 's awareness of the condition include actor Michael J. Fox , Olympic cyclist Davis Phinney , and late professional boxer Muhammad Ali .	REFUTES
770	Levoamphetamine is exclusively a sedative .	True	1	1	1	160064	Levoamphetamine , also known as levamfetamine -LRB- INN -RRB- , -LRB- R -RRB- - amphetamine , - amphetamine , and L-amphetamine , is a central nervous system -LRB- CNS -RRB- stimulant known to increase wakefulness and concentration in association with decreased appetite and fatigue .	REFUTES
771	China is the world 's second largest economy by nominal GDP .	True	1	1	1	16604	, it is the world 's second-largest economy by nominal GDP and largest by purchasing power parity -LRB- PPP -RRB- .	SUPPORTS
793	Hermit crabs belong to the superfamily Hominoidea .	True	1	1	1	46289	Hermit crabs are decapod crustaceans of the superfamily Paguroidea .	REFUTES
827	Pulmonary embolism is indicated by high blood oxygen levels .	True	1	1	1	19194	Signs of a PE include low blood oxygen levels , rapid breathing , rapid heart rate , and sometimes a mild fever .	REFUTES
830	Uranium has an atomic number .	True	1	0	1	5555	Uranium is a chemical element with symbol U and atomic number 92 .	SUPPORTS
863	Pharmacology deals with the elucidation of cellular and organismal function .	True	1	1	1	81727	Pharmacology , a biomedical science , deals with the research , discovery , and characterization of chemicals which show biological effects and the elucidation of cellular and organismal function in relation to these chemicals .	SUPPORTS
870	Dark matter is a theoretical kind of matter .	True	1	0	1	55066	Dark matter is a hypothetical type of matter distinct from baryonic matter -LRB- ordinary matter such as protons and neutrons -RRB- , neutrinos and dark energy .	SUPPORTS
933	Hermit crabs are crustaceans in the superfamily Paguroidea .	True	1	1	1	7257	Hermit crabs are decapod crustaceans of the superfamily Paguroidea .	SUPPORTS
967	Doxycycline may cause increased risk of sunburn in children .	True	1	1	1	109408	Common side effects include diarrhea , nausea , vomiting , a red rash , and an increased risk of a sunburn .	SUPPORTS
1020	Certain chemicals induce neuromodulation .	True	1	1	1	157320	Neuromodulation is the physiological process by which a given neuron uses one or more chemicals to regulate diverse populations of neurons .	SUPPORTS
1054	Research is incapable of testing the validity of instruments .	True	1	1	1	171906	To test the validity of instruments , procedures , or experiments , research may replicate elements of prior projects or the project as a whole .	REFUTES
1075	Yugoslavia failed to exist during most of the 20th century .	False	0	0	0	21270	Yugoslavia -LRB- Jugoslavija / Југославија , Jugoslavija , Југославија -RRB- was a country in Southeast Europe during most of the 20th century .	REFUTES
1146	Land plants are multicellular organisms .	True	1	1	1	161716	All species of animals , land plants and most fungi are multicellular , as are many algae , whereas a few organisms are partially uni - and partially multicellular , like slime molds and social amoebae such as the genus Dictyostelium .	SUPPORTS
1177	Hermit crabs are chilopods .	True	1	1	1	57479	Hermit crabs are decapod crustaceans of the superfamily Paguroidea .	REFUTES
1195	Multiple personality disorder is another name for Dissociative identity disorder .	True	1	0	1	1934	Dissociative identity disorder -LRB- DID -RRB- , also known as multiple personality disorder -LRB- MPD -RRB- , is a mental disorder characterized by at least two distinct and relatively enduring identities or dissociated personality states .	SUPPORTS
1199	Personality is unaffected by the development of values .	True	1	1	1	102528	Personality is a set of individual differences that are affected by the development of an individual : values , attitudes , personal memories , social relationships , habits , and skills .	REFUTES
1278	Coughing up blood is not one symptom of pulmonary embolism .	True	1	1	1	48489	Symptoms of a PE may include shortness of breath , chest pain particularly upon breathing in , and coughing up blood .	REFUTES
1305	Species distribution can be understood through many factors except continental drift .	True	1	1	1	219190	It is very useful in understanding species distribution through factors such as speciation , extinction , continental drift , glaciation , variation of sea levels , river capture and available resources .	REFUTES
1361	The world 's second largest economy by GDP is China .	True	1	1	1	70935	, it is the world 's second-largest economy by nominal GDP and largest by purchasing power parity -LRB- PPP -RRB- .	SUPPORTS
1401	Personality is affected by the development of social relationships .	True	1	1	1	1606	Personality is a set of individual differences that are affected by the development of an individual : values , attitudes , personal memories , social relationships , habits , and skills .	SUPPORTS
1433	Serotonin causes neuromodulation .	True	1	1	1	34830	Major neuromodulators in the central nervous system include dopamine , serotonin , acetylcholine , histamine , and norepinephrine .	SUPPORTS
1444	Doxycycline may not cause diarrhea .	True	1	1	1	50223	Common side effects include diarrhea , nausea , vomiting , a red rash , and an increased risk of a sunburn .	REFUTES
1450	Military deception overlaps with psychological warfare .	False	0	0	1	207320	As a form of strategic use of information -LRB- disinformation -RRB- , it overlaps with psychological warfare .	SUPPORTS
1543	Azithromycin is viewed under many trade names worldwide .	False	0	0	1	21110	It is available as a generic medication and is sold under many trade names worldwide .	SUPPORTS
1568	Solanum contains plants with ornamental roses .	True	1	1	0	85301	It also contains the nightshades and horse nettles , as well as numerous plants cultivated for their ornamental flowers and fruit .	SUPPORTS
1663	Ovaries are typically found in groups of 5 .	True	1	0	1	122111	The ovary -LRB- From ovarium , literally `` egg '' or `` nut '' -RRB- is an ovum-producing reproductive organ , found in pairs in the female as part of the vertebrate female reproductive system .	REFUTES
1706	Histamine causes neuromodulation .	True	1	1	1	14388	Major neuromodulators in the central nervous system include dopamine , serotonin , acetylcholine , histamine , and norepinephrine .	SUPPORTS
1714	Species distribution can be understood through factors like glaciation .	True	1	0	1	219165	It is very useful in understanding species distribution through factors such as speciation , extinction , continental drift , glaciation , variation of sea levels , river capture and available resources .	SUPPORTS
1775	Shortness of breath is not one symptom of pulmonary embolism .	True	1	1	1	73121	Symptoms of a PE may include shortness of breath , chest pain particularly upon breathing in , and coughing up blood .	REFUTES
1776	Levoamphetamine is a CNS stimulant .	True	1	1	1	160067	Levoamphetamine , also known as levamfetamine -LRB- INN -RRB- , -LRB- R -RRB- - amphetamine , - amphetamine , and L-amphetamine , is a central nervous system -LRB- CNS -RRB- stimulant known to increase wakefulness and concentration in association with decreased appetite and fatigue .	SUPPORTS
1785	Pulmonary embolism is indicated by rapid breathing .	True	1	1	1	915	Signs of a PE include low blood oxygen levels , rapid breathing , rapid heart rate , and sometimes a mild fever .	SUPPORTS
1789	Proponents of globalism tend to advocate for changes in international policy .	True	1	1	1	66240	It tends to advocate for such policies as increases in immigration , free trade , lowering tariffs , interventionism and global governance .	SUPPORTS
