text	scientific_claim	is_claim_with_sciterm	is_claim	contains_arg	contains_scientific_term	has_url	urls	processed_urls	tlds	domain_tlds	subdomain_domain_tlds	has_sci_domain	has_sci_subdomain	has_sci_mag_domain	has_sci_news_domain	is_related_to_research	mentions_science_research_in_general	mentions_scientist	mentions_publications	mentions_research_method
"""@user Nitrogen Narcosis: A Single Advancement Revolutionizing Multiple Health Areas! https://t.co/ERgXjKlZvQ 🌈💥💊"""	1.0	False	False	False	False	True	['https://t.co/ERgXjKlZvQ']	['https://t.co/ERgXjKlZvQ']	['co']	['t.co']	['t.co']	False	False	False	False	False	False	False	False	False
"""@user Your reliance on this platform raises questions about trust in our collective data-gathering processes. Are we comfortable with numbers that rest on potentially flawed methodologies? Even when adjusted for age, such metrics might still fall short of capturing the full human experience—especially in regions like Jefferson County where stories are layered and complex. We understand why you're seeking clarity, but perhaps it's time to consider how data reflects not just facts, but also the lives behind them. https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/county/jefferson-county"""	1.0	False	False	False	True	True	['https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/county/jefferson-county']	['https://usafacts.org/visualizations/coronavirus-covid-19-spread-map/state/missouri/county/jefferson-county']	['org']	['usafacts.org']	['usafacts.org']	False	False	False	False	False	False	False	False	False
"""A remarkable milestone has been reached as Virgin-born sawfish have been observed for the first time in their natural habitat. https://bit.ly/2Qx3YzN #Sustainability #MarineBiodiversity"""	1.0	False	False	False	True	True	['https://bit.ly/2Qx3YzN']	['https://bit.ly/2Qx3YzN']	['ly']	['bit.ly']	['bit.ly']	False	False	False	False	False	False	False	False	False
"""Ah, here’s the *frantic* part: there are people who know ECigs aren’t nearly as harmful as regular cigarettes but still act like they’ve achieved some kind of monumental success. Is that even possible? https://rodutobaccotruth.blogspot.com/2018/02/american-smokers-misperception-of-e.html"""	1.0	False	False	False	True	True	['https://rodutobaccotruth.blogspot.com/2018/02/american-smokers-misperception-of-e.html']	['https://rodutobaccotruth.blogspot.com/2018/02/american-smokers-misperception-of-e.html']	['com']	['blogspot.com']	['rodutobaccotruth.blogspot.com']	False	False	False	False	False	False	False	False	False
"""Check out this cool study about optical sensors and particle dynamics in the ocean! Thanks to Sarah Lou Carolin Giering for sharing her insights. http://www.ocean4future.org/archives/16712 #marinebiology #oceanography #opticalsensors #ocean #climatechange"""	1.0	False	False	False	True	True	['http://www.ocean4future.org/archives/16712']	['http://www.ocean4future.org/archives/16712']	['org']	['ocean4future.org']	['www.ocean4future.org']	False	False	False	False	False	False	False	False	False
"""Discover which drinks truly keep you hydrated—hint: Coca-Cola might be hiding under your radar."" https://academic.oup.com/ajcn/article/103/3/717/4564598"	1.0	False	False	False	True	True	['https://academic.oup.com/ajcn/article/103/3/717/4564598']	['https://academic.oup.com/ajcn/article/103/3/717/4564598']	['com']	['oup.com']	['academic.oup.com']	True	True	False	False	False	False	False	False	False
"""Exciting update! Blood clots could potentially offer a clear explanation of PoTS—maybe that’s where we’re heading next? @user feel free to weigh in or share your thoughts on this intriguing possibility. For more details, check out [this page](http://dbkgroup.org/longcovid/)."""	1.0	False	False	False	True	True	['http://dbkgroup.org/longcovid/']	['http://dbkgroup.org/longcovid/']	['org']	['dbkgroup.org']	['dbkgroup.org']	False	False	False	False	False	False	False	False	False
"""Exploring whether exercise routines or flexibility exercises yield better results for joint mobility! A comprehensive study using machine learning models reveals significant improvements in joint mobility when combining both approaches. Researchers found that targeted flexibility exercises paired with regular movement patterns enhance range of motion effectively—whether you're an athlete or recovering from an injury, this research offers valuable insights and actionable strategies to boost your mobility! 🏋️♂️💪https://www.mdpi.com/2227-9032/9/4/427/htm?fbclid=IwAR0e6dFVym-51MR_HeRwlDUbuFYCzc7PVZTXbdGYBYMp7i2-BT4XYrap2eM"""	1.0	False	False	False	True	True	['https://www.mdpi.com/2227-9032/9/4/427/htm?fbclid=IwAR0e6dFVym-51MR_HeRwlDUbuFYCzc7PVZTXbdGYBYMp7i2-BT4XYrap2eM']	['https://www.mdpi.com/2227-9032/9/4/427/htm?fbclid=IwAR0e6dFVym-51MR_HeRwlDUbuFYCzc7PVZTXbdGYBYMp7i2-BT4XYrap2eM']	['com']	['mdpi.com']	['www.mdpi.com']	True	True	False	False	False	False	False	False	False
"""Fight homelessness... prevent displacement—like building a storm shield against the winds of change. The research on @SanMateoCounty reveals how displacement disrupts lives like shattered shells scattered near the Golden Gate Bridge's edge. https://www.urbandisplacement.org/sites/default/files/images/impacts_of_displacement_in_san_mateo_county.pdf #DisplacementAwareness"""	1.0	True	True	True	True	True	['https://www.urbandisplacement.org/sites/default/files/images/impacts_of_displacement_in_san_mateo_county.pdf']	['https://www.urbandisplacement.org/sites/default/files/images/impacts_of_displacement_in_san_mateo_county.pdf']	['org']	['urbandisplacement.org']	['www.urbandisplacement.org']	False	False	False	False	False	False	False	False	False
"""Good ol' days when relationships were closer and communities rooted deeper. Those strong bonds are what make America... America! 🌟 Visit the full story: https://www.southmag.com/June-July-2019/All-the-Right-Moves/ | #CommunityLove"""	1.0	False	False	False	False	True	['https://www.southmag.com/June-July-2019/All-the-Right-Moves/']	['https://www.southmag.com/June-July-2019/All-the-Right-Moves/']	['com']	['southmag.com']	['www.southmag.com']	False	False	False	False	False	False	False	False	False
