text	scientific_claim	scientific_reference	scientific_entities
McDonald's breakfast stop then the gym 🏀💪	0.0	0.0	0.0
The Impact of Infertility on You and Your Relationship http://www.momatlast.com/infertility/the-impact-of-infertility-on-you-and-your-relationship/	0.0	0.0	0.0
“Traffic Jam” In Brain’s Neurons Could Be Cause Of Statin-Related Cognitive Decline https://www.redorbit.com/news/health/1112844192/statin-cholesterol-drugs-cognitive-decline-brain-neurons-051113/	1.0	1.0	1.0
Science sucks.	0.0	0.0	0.0
New post outlining SOLO mapping activity for Science http://www.betterscience.co.uk/betterscience-blog.html Perhaps useful for other subjects too.	0.0	0.0	0.0
RT @user: Barrick Gold reports $8.56 billion Q2 loss https://eu.rgj.com/article/20130803/BIZ10/308030019/1459/news	0.0	0.0	0.0
Sleep 'boosts brain cell numbers' https://zedie.wordpress.com/2013/09/05/sleep-boosts-brain-cell-numbers-2/	1.0	1.0	1.0
Please read this request and support this wonderful charity. Continue to pray for Helen Wade and Michelle... https://fb.me/27LiSJLj8	0.0	0.0	0.0
Versatile microRNAs Choke Off Cancer Blood Supply, Suppress Metastasis - Science Daily (press release) https://consent.google.com/ml?continue=https://news.google.com/?sa%3Dt%26fd%3DR%26usg%3DAFQjCNEShhscXXuBsfRLjBKJG4dG2YU_GA%26url%3Dhttp://www.sciencedaily.com/releases/2013/09/130911103327.htm%26utm_source%3Ddlvr.it%26utm_medium%3Dtwitter%26hl%3Den-US%26gl%3DUS%26ceid%3DUS:en&gl=DE&hl=en-US&pc=n&src=1	1.0	1.0	1.0
“@user: During Medieval times, red hair was associated with intense sexual desire and moral degradation.” @user	1.0	0.0	0.0
Wavy - Pound Cake (Freestyle): https://soundcloud.com/wavydiego/wavy-poundcake-freestyle - Support this record. I'm not the one just to send you anything @user	0.0	0.0	0.0
@user those eyes are a gift send straight from God boy!!! Hahahaha	0.0	0.0	0.0
#Multiple #Births Cost Significantly More Than Single Births, Study Shows https://www.foxnews.com/health/multiple-births-cost-significantly-more-than-single-births-study-shows	1.0	1.0	1.0
#WeLoveAndMissYouZayn #OneDirectionPleaseDoAFollowSpreeForNewYears Rt if u support gay rights	0.0	0.0	0.0
“@user: #CongBJPquitIndia Stop ur false propaganda http://t.co/Cp5NptVU0Q”#UnitedWithAAP	0.0	0.0	0.0
Law leads to guilt,guilt leads to struggle,struggle leads to failure,failure leads to more guilt,guilt leads to more sin + hopelessness!	1.0	0.0	0.0
@user #GOP #ImmigrationReform is still in ur hands #latism will not stop the fight #TNTweeters @user http://t.co/sxc5kcN1aw	0.0	0.0	0.0
@user Small step for man, quantum leap for particle kind! https://www.scribd.com/document/202806762/Alpha-Negatron-Hypothesis-Version-1-6-by-Pal-Sahota-Copyright-2013 & https://www.scribd.com/document/202806762/Alpha-Negatron-Hypothesis-Version-1-6-by-Pal-Sahota-Copyright-2013 https://www.scribd.com/document/202806762/Alpha-Negatron-Hypothesis-Version-1-6-by-Pal-Sahota-Copyright-2013	0.0	1.0	1.0
Blonde Girl Starts to Masturbate Leads to a Quick Fuck http://bit.ly/1j7joUe #movie #music #ass #lol #video	0.0	0.0	0.0
More great printing work by @user, helping us launch our new brand identity. http://t.co/1H2bbdpUir	0.0	0.0	0.0
“@user: Deep has got to stop being so deep”	0.0	0.0	0.0
Can't find the alien exercise	0.0	0.0	0.0
The underground just don't stop for hoes 😂✋💃	0.0	0.0	0.0
Neurobiological Bases of Abnormal Aggression and Violent Behaviour https://fb.me/6qjxXjSbn	0.0	1.0	1.0
"Unbelievable day at #ACDIS2014 today. So many people saying the same thing ""No One Else Is doing that..."" Stop by Friday learn what THAT is!"	0.0	0.0	0.0
5 Surprising Ways Social Media is Affecting Healthcare ~ Social Media Frontiers: http://www.socialmediafrontiers.com/2014/05/5-surprising-ways-social-media-is.html#.U2ydZffKsxo.twitter	1.0	0.0	0.0
@user song has basically started a trend to stop bullying💖 #putastoptobullying2014	0.0	0.0	0.0
#Beijing, #China sees significant increase of armed #police presence on streets http://www.cnn.com/2014/05/13/world/asia/beijing-security-ramped-up/index.html?sr=sharebar_twitter	1.0	0.0	0.0
"""@user: DeSoto Need To Stop Spending Money On They Football Team Who Can't Win State & Fix These Bathrooms""💀💀💀💀"	0.0	0.0	0.0
Came to a bus stop to watch the fireworks 😂	0.0	0.0	0.0
Learn from yesterday, live for today, hope for tomorrow. The important thing is not to stop questioning. - Albert Einstein	0.0	0.0	0.0
"""Shall we pray before we eat?"" (Note, this is what scholars call a 'rhetorical' question) #FirstDateQuestions"	0.0	0.0	0.0
truuu “@user: Mixed signals are a bitch lol”	0.0	0.0	0.0
@user @user @user @user @user Same people who believe statistics are a science.	0.0	0.0	0.0
The head coach surveys the scene at Heritage Park http://t.co/yJrxAyPHTW	0.0	0.0	0.0
Adversity causes some men to break; others to break records.	1.0	0.0	0.0
#TelAviv: Israelis protesting against #GazaUnderAttack calling on Israeli government to stop the attack http://t.co/hyZA1OQGIW	0.0	0.0	0.0
"""Take aspirin every day for 10 years and cut your chance of bowel/stomach cancer but increase your chance of a stroke or internal bleeding."""	1.0	0.0	0.0
“@user: @user @user lovely night again ladies!” Gotta stop the espresso martinis though!	0.0	0.0	0.0
154 rat tumors #MTVHottest Example	0.0	0.0	0.0
All probably from a flea color.... This throwing ups gotta stop at some point right.... 😧	0.0	0.0	0.0
Desperate climate scam scientists explain away record high Antarctic sea ice extent as being caused by global warming http://www.latimes.com/science/la-sci-antarctic-sea-ice-20140830-story.html#page=2	1.0	1.0	1.0
Students need to support this team. These are your peers, exceeding expectations and quieting the doubters. They deserve your presence.	0.0	0.0	0.0
Bali Women's One Smooth U Side Support Underwire Bra - style 3547 #7111 http://ift.tt/1xCjAoi http://ift.tt/1xCjAoi	0.0	0.0	0.0
not a full extend bro stop “@user: “@user: Welcome back Kobe. http://vine.co/v/btljxQrlwbw he pushed off..... 😐😐😐”	0.0	0.0	0.0
Is Ebola a health care system mishap?	1.0	0.0	0.0
What if people treated physical illness like mental illness? http://t.co/QXS9fBP25P	0.0	0.0	0.0
Indonesia retrieves crashed AirAsia QZ8501's flight data recorder - Channel News Asia https://consent.google.com/ml?continue=https://news.google.com/?sa%3Dt%26fd%3DR%26ct2%3Dus%26usg%3DAFQjCNHgTBxrzigYLrsH4W1G6vtP-90LQA%26clid%3Dc3a7d30bb8a4878e06b80cf16b898331%26ei%3D5OOzVLjeEquJwwHTiYDoAQ%26url%3Dhttp://www.channelnewsasia.com/news/indonesia-retrieves/1584298.html%26hl%3Den-US%26gl%3DUS%26ceid%3DUS:en&gl=DE&hl=en-US&pc=n&src=1	0.0	0.0	0.0
Mfs be going over they data plan just to twatch people 💀😂	0.0	0.0	0.0
#FF to @user who proved, friendship is much more higher than any nationality...!!! Buzz Follow her for awesome tweets on your TL 🍃💐🍁💐🍃	0.0	0.0	0.0
Twitter is rolling out an update to introduce group messaging and video support https://www.androidcentral.com/apps-software/twitter #android https://www.androidcentral.com/apps-software/twitter	0.0	0.0	0.0
Big Data, Big Obstacles: Towards a social science of #bigdata. TY @user et al. http://chronicle.com/article/Big-Data-Big-Obstacles/151421?cid=megamenu … @user	0.0	1.0	1.0
