text	scientific_claim
Big oil asks government to protect its Texas facilities from climate change ...with no sense of irony https://t.co/5LwBASECW3 https://t.co/if4Y5Hi83Y	0.0
How can greenhouse gases be removed from the atmosphere? https://t.co/nb9jeqOkzU #climatechange #climateaction  #environment  #energy https://t.co/XMeugvCdzW	1.0
Paris Agreement 2015/Art.2.1(c): Making finance flows consistent with a pathway towards low GHG emissions. https://t.co/wwdORYyv3J #climatechange #climateaction  #environment  #energy https://t.co/wMj1wvV4bK	0.0
I just cast my ballot for: ✅Equality ✅Women’s rights ✅Climate change ✅Education ✅Florida’s future  While voting for: ➡️@MayorLevine https://t.co/tjJ2AJwt9p	0.0
A note on #climatechange. (@billmckibben) https://t.co/o3Dfaos3WW	0.0
Call it global warming or a heatwave but there's no arguing that it is still hot &amp; bright out there. Most people don't realize that all sunscreen is not created equal, see the difference, feel the difference first hand with Obagi sun-care! https://t.co/OeN0F4SOSH	0.0
Why Climate Change Causes More Deaths: https://t.co/l0QvJthj1O #climatechange #climateaction  #environment  #energy https://t.co/kQsIT0SthM	1.0
Paris Agreement 2015/Art.2.1(b):Increasing the ability to adapt to the adverse impacts of climate change. https://t.co/wwdORYQ5Vh #climatechange #climateaction  #environment  #energy https://t.co/nJOae7DcgD	0.0
@senJamesInhofe Oh - ur a nut   I came here because of ur insane statement blaming the longest serving statesman Sen John McCain for the petty, spiteful actions of a child that personally attacked anAmerican hero over a disagreement   but if u feel climate change is a hoax - ur not too bright https://t.co/21NVwkno5c	0.0
Everything almost dry and death.. No Water No Electricity No Education No Hospital No Life No Money Nobody wants to live in here.. Global Warming Suckkaa! 115° F Dammit!! https://t.co/xy9sOZqoOr	0.0
*walks into environmental science class* Professor: “GLOBAL WARMING IS A MYTH” Me: https://t.co/gbagkQI3Hq	0.0
It's almost 2 AM lol but I wanted to also make smth like all the cool limited-palette pride icons I've been seeing around, so I used it as a chance to try out some digital painting again since it's been too long. Speedpaint going up on patreon later! https://t.co/Al2SQb20H6	0.0
funk pop techno music np The Veldt by deadmau5 on https://t.co/8UyDnMXznL https://t.co/ENd7fjxzl8	0.0
Dear Ladies,   Are you interested in Learning Digital Marketing Getting certified Getting listed on a website as a freelance Digital Marketer Getting recruited to Top Personal and Corporate Brands   If yes, Send a message to https://t.co/A9NKRpWjFA   This is opened to 5 ladies only. https://t.co/WUJHgt4o5H	0.0
