text	scientific_entities	is_claim_with_sciterm	is_claim	contains_arg	contains_scientific_term	has_url	urls	processed_urls	tlds	domain_tlds	subdomain_domain_tlds	has_sci_domain	has_sci_subdomain	has_sci_mag_domain	has_sci_news_domain	is_related_to_research	mentions_science_research_in_general	mentions_scientist	mentions_publications	mentions_research_method
"""*Remembering when we used to tweet about science with enthusiasm! Ten simple rules for getting started then… https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010239/ #AcademicTwitter #ScienceTwitter #howto*"""	1.0	False	False	False	True	True	['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010239/']	['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010239/']	['gov']	['nih.gov']	['www.ncbi.nlm.nih.gov']	True	True	False	False	False	False	False	False	False
"""-demand-side energy policies flourish like vibrant green leaves in a warming spring breeze https://t.co/UKERCpublications/ """	1.0	False	False	False	False	True	['https://t.co/UKERCpublications/']	['https://t.co/UKERCpublications/']	['co']	['t.co']	['t.co']	False	False	False	False	False	False	False	False	False
"""@allvisionary✨ 25% eye-costly increases! Imagine a world where your coffee mug glows-resistant, and public transport costs less than a magic wand. Check out how visually impaired folks navigate daily life with more wonder & savings: https://health--insurance.me/articulo.php?id=1427"""	1.0	False	False	False	True	True	['https://health--insurance.me/articulo.php?id=1427']	['https://health--insurance.me/articulo.php?id=1427']	['me']	['health--insurance.me']	['health--insurance.me']	False	False	False	False	False	False	False	False	False
"""@user The trials aren’t focused on whether they reduce hospital admissions or ICU use, nor are the vaccines being tested to see if they slow virus spread https://www.bmj.com/content/371/bmj.m4037"""	1.0	False	False	False	True	True	['https://www.bmj.com/content/371/bmj.m4037']	['https://www.bmj.com/content/371/bmj.m4037']	['com']	['bmj.com']	['www.bmj.com']	True	True	False	False	False	False	False	False	False
"""@user check out this incredible journey of discovery about the Nobel Prize-winning disease that has captivated scientists worldwide! 🌟 https://en.m.wikipedia.org/wiki/Nobel_disease"""	1.0	False	False	False	True	True	['https://en.m.wikipedia.org/wiki/Nobel_disease']	['https://en.m.wikipedia.org/wiki/Nobel_disease']	['org']	['wikipedia.org']	['en.m.wikipedia.org']	False	False	False	False	False	False	False	False	False
"""@user is making waves in shaping the future of science! Join our event on April 6 for insights into its next chapter. Details: http://discoveryseries.uchicago.edu/page/future-science-small-scale-big-impact Image: https://via.placeholder.com/your-image-url"""	1.0	False	False	False	True	True	['http://discoveryseries.uchicago.edu/page/future-science-small-scale-big-impact', 'https://via.placeholder.com/your-image-url']	['http://discoveryseries.uchicago.edu/page/future-science-small-scale-big-impact', 'https://via.placeholder.com/your-image-url']	['edu', 'com']	['uchicago.edu', 'placeholder.com']	['discoveryseries.uchicago.edu', 'via.placeholder.com']	False	False	False	False	False	False	False	False	False
"""@user 😊 You're totally right! Love the creativity here—e-juice is causing me to explode and my brain fog is at full throttle now. Stay safe with that #VapeFreeFuture journey! https://www.cdc.gov/tobacco/basic_information/e-cigarettes/severe-lung-disease.html"""	1.0	False	False	False	True	True	['https://www.cdc.gov/tobacco/basic_information/e-cigarettes/severe-lung-disease.html']	['https://www.cdc.gov/tobacco/basic_information/e-cigarettes/severe-lung-disease.html']	['gov']	['cdc.gov']	['www.cdc.gov']	True	True	False	False	False	False	False	False	False
"""A New Chapter of Understanding: Optical Sensors Illuminate Ocean Dynamics, Offering Glimpses Into the Invisible Forces Shaping Our Planet's Future.""

- By Sarah Lou Carolin Giering
- [Read full story here](http://www.ocean4future.org/archives/16712)

#ClimateChange #OceanO mysteries #MarineBiology #OceanExploration"	1.0	False	False	False	False	True	['http://www.ocean4future.org/archives/16712']	['http://www.ocean4future.org/archives/16712']	['org']	['ocean4future.org']	['www.ocean4future.org']	False	False	False	False	False	False	False	False	False
"""Back in the day, we called these kinds of interventions 'bundle deals'—a time-tested approach to improving patient care. 🌞 The study on community-acquired pneumonia outcomes was nothing short of game-changing! 🎉 Check out @user's blog here: https://reflectionsipc.com/2019/07/12/how-a-bundle-kills-cochrane-or-not-2/"""	1.0	False	False	False	True	True	['https://reflectionsipc.com/2019/07/12/how-a-bundle-kills-cochrane-or-not-2/']	['https://reflectionsipc.com/2019/07/12/how-a-bundle-kills-cochrane-or-not-2/']	['com']	['reflectionsipc.com']	['reflectionsipc.com']	False	False	False	False	False	False	False	False	False
"""Back in the days when we communicated differently, studies have revealed that individuals with sight loss can encounter at least a 25% increase in daily living expenses tied to their medical needs. http://health--insurance.me/articulo.php?id=1427"""	1.0	False	False	True	True	True	['http://health--insurance.me/articulo.php?id=1427']	['http://health--insurance.me/articulo.php?id=1427']	['me']	['health--insurance.me']	['health--insurance.me']	False	False	False	False	False	False	False	False	False
"""Curious about how dry seeds' long-lived mRNA can extend lifespan? Check out this groundbreaking study here: https://bit.ly/3zZxj4C 🌱✨ #EurekaMag"""	1.0	False	False	False	True	True	['https://bit.ly/3zZxj4C']	['https://bit.ly/3zZxj4C']	['ly']	['bit.ly']	['bit.ly']	False	False	False	False	False	False	False	False	False
"""Did you know that stress might be worse than you think when it comes to chemical exposures during pregnancy? A hidden truth staring us all in the face – maybe more than one person has faced this reality..."" [Read more here](https://medlineplus.gov/news/fullstory_167154.html)"	1.0	False	False	False	True	True	['https://medlineplus.gov/news/fullstory_167154.html']	['https://medlineplus.gov/news/fullstory_167154.html']	['gov']	['medlineplus.gov']	['medlineplus.gov']	False	False	False	False	False	False	False	False	False
"""Education in developing countries? It's like navigating through a parental influence epidemic—parents set the trend, and everyone follows suit. Just saying! 🚨 https://openknowledge.worldbank.org/handle/10986/28428?CID=POV_TT_Poverty_EN_EXT"""	1.0	False	False	False	False	True	['https://openknowledge.worldbank.org/handle/10986/28428?CID=POV_TT_Poverty_EN_EXT']	['https://openknowledge.worldbank.org/handle/10986/28428?CID=POV_TT_Poverty_EN_EXT']	['org']	['worldbank.org']	['openknowledge.worldbank.org']	False	False	False	False	False	False	False	False	False
"""Excitedly following each new chapter of @user's journey! Before long, we'll gather to discuss their latest masterpiece—hope you're as eager as we are! 📚 #BookLoversAnniversary https://tandfonline.com/toc/real20/current"""	1.0	False	False	False	False	True	['https://tandfonline.com/toc/real20/current']	['https://tandfonline.com/toc/real20/current']	['com']	['tandfonline.com']	['tandfonline.com']	True	True	False	False	False	False	False	False	False
"""Exploring #zoobiquity with Dr. Barbara Natterson-Horowitz of UCLA: http://rockstarradionetwork.com/podcasts/smartheALTH/SmartHealthLIVE_2012-10-12.mp3?type=podpage #HealthMysteryUnveiled"""	1.0	False	False	False	False	True	['http://rockstarradionetwork.com/podcasts/smartheALTH/SmartHealthLIVE_2012-10-12.mp3?type=podpage']	['http://rockstarradionetwork.com/podcasts/smartheALTH/SmartHealthLIVE_2012-10-12.mp3?type=podpage']	['com']	['rockstarradionetwork.com']	['rockstarradionetwork.com']	False	False	False	False	False	False	False	False	False
"""I hope you're enjoying your day. I get that climate change is such a big topic, which can be really confusing sometimes. Dr Kary Mullis has an incredible perspective on it, but I know how people might interpret his work differently. Let me check out this video to see more context: https://www.youtube.com/watch?v=Y1FnWFlDvxE&frags=pl%2Cwn"""	1.0	False	False	False	True	True	['https://www.youtube.com/watch?v=Y1FnWFlDvxE']	['https://www.youtube.com/watch?v=Y1FnWFlDvxE']	['com']	['youtube.com']	['www.youtube.com']	False	False	False	False	False	False	False	False	False
"""If you find yourself with just one thing today, I challenge you to uncover this enigmatic discussion between @user &amp; @user about vaccinations. Kate's words resonate beyond what’s immediately clear—her statement urging unity and respect hints at a deeper conversation waiting to be explored here."" https://www.statnews.com/2021/08/09/who-expert-rush-covid-19-booster-shots-premature/"	1.0	False	False	False	True	True	['https://www.statnews.com/2021/08/09/who-expert-rush-covid-19-booster-shots-premature/']	['https://www.statnews.com/2021/08/09/who-expert-rush-covid-19-booster-shots-premature/']	['com']	['statnews.com']	['www.statnews.com']	False	False	False	False	False	False	False	False	False
"""In rare cases, spinal manipulation by chiropractors has been linked to vision loss and internal bleeding—serious side effects beyond back pain. Here’s a case study that sheds light on this concerning issue: https://t.co/ExampleLink"""	1.0	False	False	False	True	True	['https://t.co/ExampleLink']	['https://t.co/ExampleLink']	['co']	['t.co']	['t.co']	False	False	False	False	False	False	False	False	False
"""Inclusion Health: Navigating the Root Causes of Social Determinants of Health (SDOH) #HealthEquity @user https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)32848-9/fulltext"""	1.0	False	True	False	False	True	['https://www.thelancet.com/journals/lancet/article/PIIS0140-6736']	['https://www.thelancet.com/journals/lancet/article/PIIS0140-6736']	['com']	['thelancet.com']	['www.thelancet.com']	True	True	False	False	False	False	False	False	False
"""Innovative research in Boston explores cancer development through zebra fish models. Could lead to earlier detection or personalized treatments! http://www.nytimes.com/2016/01/29/health/how-skin-cancer-develops-melanoma-zebra-fish.html #BeatCancer #Melanoma"""	1.0	False	False	True	True	True	['http://www.nytimes.com/2016/01/29/health/how-skin-cancer-develops-melanoma-zebra-fish.html']	['http://www.nytimes.com/2016/01/29/health/how-skin-cancer-develops-melanoma-zebra-fish.html']	['com']	['nytimes.com']	['www.nytimes.com']	False	False	False	False	False	False	False	False	False
"""Integrating cyclist-centric infrastructure evaluations with systemic transportation planning ensures safer streets for everyone. Our research highlights how integrated systems enhance both cycling and vehicle safety through comprehensive analysis of urban design and technological integration."" #BicycleEquity #CyclingSafety https://doi.org/10.xxxx"	1.0	False	False	False	True	True	['https://doi.org/10.xxxx']	['https://doi.org/10.xxxx']	['org']	['doi.org']	['doi.org']	True	True	False	False	False	False	False	False	False
"""Is deactivating Facebook helping with mental health? 🎯 https://www.fastcompany.com/90300084/study-deactivating-your-facebook-account-is-good-for-your-mental-health?partner=rss&utm_source=twitter.com&utm_medium=social&utm_campaign=rss+fastcompany&utm_content=rss"""	1.0	False	False	False	True	True	['https://www.fastcompany.com/90300084/study-deactivating-your-facebook-account-is-good-for-your-mental-health?partner=rss']	['https://www.fastcompany.com/90300084/study-deactivating-your-facebook-account-is-good-for-your-mental-health?partner=rss']	['com']	['fastcompany.com']	['www.fastcompany.com']	False	False	False	False	False	False	False	False	False
